authority,station_name,longitude,latitude,time,flood_depth_cm
水利署水文技術組,海湖(3),121.2683,25.103111,2025-11-10T13:10:00Z,-40.522
水利署水文技術組,華醫大橋,120.24699,22.960318,2025-11-10T13:10:00Z,1.32
水利署水文技術組,烏眉(1),120.72009,24.510603,2025-11-10T13:10:00Z,39.728
內政部營建署,嘉義縣擴大縣治污水處理廠,120.2829,23.454994,2025-11-10T14:00:00Z,6.31
內政部營建署,嘉義縣擴大縣治污水處理廠,120.2829,23.454994,2025-11-10T14:00:00Z,430.17
內政部營建署,嘉義縣擴大縣治污水處理廠,120.2829,23.454994,2025-11-10T14:00:00Z,22.65
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,12.864
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,12.959
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,14.272
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,12.87
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,12.831
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,13.807
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,9.629
第五河川分署,菁寮堤防 7K+713,120.3114,23.2969,2025-11-10T13:05:00Z,13.11
水利署水文技術組,平溪(3),120.219246,23.356714,2025-11-10T13:10:00Z,-6.519
新竹縣政府水利科,鳳崗路5段369巷,120.94895,24.86872,2025-11-10T13:00:35Z,0.0
桃園巿政府水務局(智慧防汛),六和工廠,121.22266,24.980427,2025-11-10T13:05:00Z,0.0
農田水利署嘉南管理處,南官田小給3,120.332634,23.192562,2025-11-10T13:04:13Z,0.024
新北市政府水利局(智慧防汛),樹林區學勤路/佳園路三段街口,121.38523,24.9486,2025-11-10T13:05:00Z,0.0
